name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Mercedes-Benz,2013,14.169682371684887,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0
Tata,2011,12.487485104968359,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0
Hyundai,2011,12.154779351142624,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0
Hyundai,2013,12.959844447906553,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0
Maruti,2015,13.353475098367715,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0
Ford,2017,13.304684934198283,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0
Maruti,2019,13.38472764187182,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
Volkswagen,2016,13.199324418540456,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0
Honda,2015,13.353475098367715,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0
Maruti,2018,13.012548511397123,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0
Volkswagen,2017,13.122363377404328,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0
Maruti,2016,13.521139497361697,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
Maruti,2019,13.840203170554645,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0
Hyundai,2011,12.367340793126296,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
Maruti,2016,13.353475098367715,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0
Toyota,2015,14.346138809026444,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0
Maruti,2013,13.017002861746503,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0
Maruti,2012,13.017002861746503,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0
Tata,2003,10.819778284410283,70000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.4,
Volkswagen,2013,13.017002861746503,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0
Toyota,2016,13.997832114758229,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0
Ford,2015,13.321214236149494,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0
BMW,2016,14.73180128983843,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0
Maruti,2017,13.091902108061824,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0
Datsun,2016,12.524526376648708,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0
Maruti,2016,12.66032791780777,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
Maruti,2016,12.524526376648708,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
Maruti,2015,13.071070083016778,78000,Diesel,Dealer,Manual,First Owner,19.3,1248.0,82.4,
Hyundai,2012,12.577636201962656,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0
Maruti,2017,12.542544882151386,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0
Volkswagen,2015,13.028052697933088,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0
Hyundai,2015,12.768541502448002,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0
Volkswagen,2012,13.190022025878143,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0
Maruti,2009,12.072541252905651,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0
Hyundai,2013,13.17115354157376,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0
Maruti,2016,13.304684934198283,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
Hyundai,2016,13.244581010128577,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0
Maruti,2008,11.695247021764184,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0
Hyundai,2017,13.493926933836812,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
Maruti,2009,12.128111104060462,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0
Tata,2010,12.206072645530174,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0
Maruti,2019,13.329377546788654,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0
Maruti,2016,12.506177237980511,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0
Maruti,2018,13.321214236149494,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
Mahindra,2014,13.345506928718539,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0
Ford,2020,12.89921982609012,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0
Hyundai,2017,13.671640187544572,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0
Volkswagen,2010,13.458835614025542,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0
Tata,2010,12.611537753638338,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0
Mahindra,2019,14.346138809026444,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0
Tata,2016,12.834681304952548,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0
Hyundai,2013,13.165422866864775,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0
Hyundai,2013,13.02143524642254,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0
Toyota,2009,12.611537753638338,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0
Maruti,2020,13.071070083016778,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0
Maruti,2016,13.567049198665774,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
Maruti,2017,13.296316684527767,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
Maruti,2017,12.994530005894443,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
Maruti,2010,12.611537753638338,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Nissan,2014,12.89921982609012,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0
Hyundai,2016,13.946538820370678,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0
Ford,2017,13.652991628466498,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0
Maruti,2012,12.821258284620408,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0
Renault,2018,12.765688433465597,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0
Maruti,2015,12.793859310432293,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0
Maruti,2008,11.56171562913966,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
Maruti,2013,13.345506928718539,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0
Hyundai,2009,11.813030057420567,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0
Maruti,2015,13.458835614025542,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0
Honda,2019,13.444446876573442,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0
Audi,2018,15.19553530607057,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0
Lexus,2019,15.454507272639919,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0
Jaguar,2017,14.978661367769956,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0
Jeep,2017,15.226497531674536,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0
Land,2019,15.319587954740548,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0
Mercedes-Benz,2017,15.60727002719233,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0
BMW,2018,15.147876577058609,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0
BMW,2017,14.580978400103845,27000,Diesel,Dealer,Automatic,First Owner,19.3,1248.0,82.4,
BMW,2019,15.573368475516649,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0
Skoda,2018,14.43877107486688,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0
Mercedes-Benz,2016,14.808762330974558,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0
MG,2019,14.375126345899696,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0
Honda,2017,13.58609739363647,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0
Toyota,2013,13.345506928718539,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0
Volvo,2018,15.03928598958639,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0
Audi,2015,14.790070197962406,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0
Maruti,2015,13.190022025878143,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0
Mercedes-Benz,2017,15.58195221920804,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0
BMW,2010,13.790192749979985,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0
Hyundai,2016,13.5985975564007,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0
Jaguar,2017,14.780591454007862,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0
Tata,2018,13.60602333309755,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0
Volkswagen,2011,12.834681304952548,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0
Hyundai,2012,13.217673557208654,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0
Skoda,2016,13.37700559577791,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0
Mercedes-Benz,2018,14.75160391713461,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0
Maruti,2014,13.303016877097587,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0
Mercedes-Benz,2017,14.808762330974558,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0
Honda,2017,13.681979165339751,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0
Toyota,2019,13.704577879937933,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0
Maruti,2011,12.072541252905651,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
Maruti,2012,12.736700896592344,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0
Toyota,2016,14.237504968023648,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0
Tata,2018,13.840203170554645,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0
BMW,2016,14.580978400103845,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0
Toyota,2016,14.457364444136669,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0
BMW,2016,14.880221294956703,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0
Toyota,2009,13.017002861746503,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0
Maruti,2016,13.652991628466498,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0
Volvo,2017,16.11809565095832,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0
Volkswagen,2011,12.611537753638338,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0
Ford,2018,13.262125319779487,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0
Ford,2011,11.982929094215963,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
Maruti,2015,13.151922179645874,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
Maruti,2015,12.873902018105829,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0
Hyundai,2016,13.217673557208654,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0
Maruti,1999,10.596634733096073,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0
Maruti,2010,12.301382825334498,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0
Hyundai,2015,12.959844447906553,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
Volkswagen,2019,13.081541382884074,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0
Hyundai,2014,12.89921982609012,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0
Maruti,2014,13.096019402064726,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0
Hyundai,2016,12.863592648446968,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0
Honda,2005,11.512925464970229,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0
Toyota,2010,12.611537753638338,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0
Daewoo,2000,11.512925464970229,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0
Toyota,2014,14.375126345899696,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0
Mahindra,2016,13.017002861746503,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0
Tata,2017,13.102160670086809,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0
Honda,2009,12.751299696013497,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0
Maruti,2005,11.350406535472453,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0
Maruti,2010,12.2783933071098,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0
Hyundai,2010,12.676076274775909,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0
Maruti,2016,13.038979594549872,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0
Hyundai,2005,11.082142548877775,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0
Hyundai,2020,13.487006490992238,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0
Maruti,2017,13.592367006650065,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0
Tata,2019,13.16158409055761,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0
Maruti,2015,13.270783382522602,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0
Toyota,2012,12.367340793126296,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.4,
Honda,2015,13.304684934198283,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0
Honda,2014,12.577636201962656,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0
Maruti,2017,13.217673557208654,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
Hyundai,2013,12.834681304952548,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0
Maruti,2003,10.596634733096073,90000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Maruti,2018,12.948009990259552,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0
Maruti,2017,13.217673557208654,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0
Maruti,2018,12.506177237980511,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
Maruti,2018,13.458835614025542,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0
Maruti,2017,13.122363377404328,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
Tata,2019,14.038654109278484,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7.0
Hyundai,2013,12.676076274775909,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0
Maruti,2018,13.458835614025542,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0
Maruti,2015,12.577636201962656,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
Toyota,2012,13.217673557208654,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5.0
Honda,2012,12.487485104968359,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0
Maruti,2018,13.62918097977278,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0
Tata,2017,13.592367006650065,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0
Maruti,2011,11.982929094215963,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
Renault,2018,12.721885810807203,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
Datsun,2017,12.70381302974751,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0
Maruti,2017,13.560618308335483,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
Hyundai,2020,13.169246963303179,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0
Maruti,2015,12.409013489526863,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
Hyundai,2012,12.524526376648708,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0
Tata,2018,13.16158409055761,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0
Maruti,2008,11.77528972943772,120000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Nissan,2014,13.217673557208654,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0
Ford,2018,13.721199878493033,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0
Nissan,2015,12.611537753638338,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0
Maruti,2016,12.765688433465597,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
Mahindra,2013,13.710150042306449,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,7.0
Mahindra,2013,12.611537753638338,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7.0
Maruti,2010,12.429216196844383,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0
Hyundai,2017,13.9108207377686,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0
Renault,2016,12.506177237980511,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
Maruti,2015,13.369223455335854,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0
Mahindra,2015,13.38472764187182,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0
Maruti,2017,12.923909999653127,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0
Hyundai,2011,12.013700752882718,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0
Hyundai,2007,11.289781913656018,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0
Mahindra,2012,13.190022025878143,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0
Toyota,2013,13.458835614025542,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,7.0
Maruti,2013,13.217673557208654,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
Honda,2019,13.42984807715229,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5.0
Hyundai,2009,12.206072645530174,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
Maruti,2014,13.122363377404328,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0
Maruti,2016,13.815510557964274,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0
Hyundai,2008,11.608235644774552,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5.0
Hyundai,2012,12.676076274775909,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0
Tata,2005,11.225243392518447,110000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Maruti,2015,12.765688433465597,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5.0
Tata,2013,12.043553716032399,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0
Hyundai,2017,13.592367006650065,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
Maruti,2017,13.122363377404328,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5.0
Tata,2017,14.137594057133388,50000,Diesel,Individual,Automatic,First Owner,17.6,2179.0,153.86,7.0
